CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
SWETC2,Consignment,Operations
SWETC2,Promotional Stand,Retail Format
SWETC3,Consignment,Operations
SWETOC,Closed,Account Status
SWIE01,Closed,Account Status
SWIEC1,Consignment,Operations
SWIEOC,Closed,Account Status
SYSE02,Closed,Account Status
SYSE03,Closed,Account Status
SYSEOC,Consignment,Operations
TACIC2,Consignment,Operations
TACIC2,Promotional Stand,Retail Format
TBEHCO,Consignment,Operations
TBOJC1,Consignment,Operations
TBOJOC,Closed,Account Status
TEXR01,Closed,Account Status
TEXR02,Closed,Account Status
THC01,Trading Account,Account Status
THC02,Trading Account,Account Status
THCC1,Consignment,Operations
TINOOC,Consignment,Operations
TINRC1,Consignment,Operations
TINRC1,Promotional Stand,Retail Format
TINRC2,Consignment,Operations
TKAZC1,Consignment,Operations
TKOZ01,Closed,Account Status
TLAI01,Closed,Account Status
TMAH02,Closed,Account Status
TMALOC,Consignment,Operations
TMALOC,Promotional Stand,Retail Format
TMNU01,Closed,Account Status
TMOAOC,Consignment,Operations
TMUH01,Trading Account,Account Status
TMUHC1,Consignment,Operations
TNAHC1,Closed,Account Status
TNAHC1,Consignment,Operations
TNAHC2,Consignment,Operations
TNAHC2,Promotional Stand,Retail Format
TNAHOC,Consignment,Operations
TNAHOC,Promotional Stand,Retail Format
TNETOC,Consignment,Operations
TOPBOT,Consignment,Operations
TOPBOT,Promotional Stand,Retail Format
TOPC10,Consignment,Operations
TOPC11,Closed,Account Status
TOPC11,Consignment,Operations
TOPC13,Consignment,Operations
TOPC13,Promotional Stand,Retail Format
TOPC14,Closed,Account Status
TOPCC1,Consignment,Operations
TOPCC2,Closed,Account Status
TOPCC3,Consignment,Operations
TOPCC4,Consignment,Operations
TOPFCS,Consignment,Operations
TOPI05,Closed,Account Status
TOPI26,Closed,Account Status
TOPI28,Closed,Account Status
TOPI45,Closed,Account Status
TOPI47,Closed,Account Status
TOPI49,Trading Account,Account Status
TOPIC1,Consignment,Operations
TOPIC1,Promotional Stand,Retail Format
TOPIC2,Consignment,Operations
TOPIC3,Consignment,Operations
TOPIC4,Closed,Account Status
TOPIC4,Consignment,Operations
TOPIC5,Consignment,Operations
TOPIC7,Consignment,Operations
TOPIC8,Consignment,Operations
TOPIC9,Consignment,Operations
TOPICC,Consignment,Operations
TOPICO,Consignment,Operations
TOPIKC,Consignment,Operations
TOPIOC,Consignment,Operations
TOPIVN,Consignment,Operations
TOPO01,Trading Account,Account Status
TOPOC1,Consignment,Operations
TOPOOC,Consignment,Operations
TPAEC1,Consignment,Operations
TPAEC1,Promotional Stand,Retail Format
TSUTOC,Consignment,Operations
TWAEC1,Consignment,Operations
TWAEOC,Closed,Account Status
TWEZ01,Closed,Account Status
TWIBC1,Consignment,Operations
TWIBC1,Promotional Stand,Retail Format
TWIBC2,Consignment,Operations
UBAE01,Trading Account,Account Status
UBAEOC,Consignment,Operations
UBLF01,Closed,Account Status
UBLSOC,Consignment,Operations
UBOG01,Closed,Account Status
UBOG02,Closed,Account Status
UBOMC1,Consignment,Operations
UDRMOC,Consignment,Operations
UFAL01,Closed,Account Status
UFALOC,Closed,Account Status
UFALOC,Consignment,Operations
UFOR01,Closed,Account Status
UFORC1,Consignment,Operations
UFOROC,Consignment,Operations
UKRG01,Closed,Account Status
UKRS01,Closed,Account Status
ULADC1,Consignment,Operations
ULADC1,Promotional Stand,Retail Format
UMNKC1,Consignment,Operations
UMNKC1,Promotional Stand,Retail Format
UMOT01,Trading Account,Account Status
UMOTC1,Consignment,Operations
UNET01,Trading Account,Account Status
UNET02,Closed,Account Status
UNETC1,Consignment,Operations
UNETC1,Promotional Stand,Retail Format
UNETOC,Consignment,Operations
USOTC1,Consignment,Operations
UTREOC,Consignment,Operations
UYOOC,Consignment,Operations
UYORC1,Consignment,Operations
UYORC1,Promotional Stand,Retail Format
VADE02,Closed,Account Status
VDAE01,Consignment,Operations
VDAEOC,Consignment,Operations
VDAI01,Closed,Account Status
VDEI01,Closed,Account Status
VDEROC,Consignment,Operations
VDICO,Consignment,Operations
VDII01,Trading Account,Account Status
VGOEC1,Consignment,Operations
VGOEC2,Consignment,Operations
VGOEOC,Closed,Account Status
VINE01,Closed,Account Status
VLEI02,Trading Account,Account Status
VLEI05,Closed,Account Status
VLEIC1,Consignment,Operations
VLEIOC,Consignment,Operations
VLEYC1,Consignment,Operations
VLEYOC,Consignment,Operations
VRIO01,Trading Account,Account Status
VRIO02,Closed,Account Status
VRIOC1,Consignment,Operations
VRIOC2,Consignment,Operations
VRIOC2,Promotional Stand,Retail Format
VRIOOC,Closed,Account Status
WCOA01,Trading Account,Account Status
WCOAC1,Closed,Account Status
WCOAOC,Closed,Account Status
WHOE01,Trading Account,Account Status
WHOEC1,Consignment,Operations
WHOEOC,Consignment,Operations
WNECON,Consignment,Operations
WNEMA,Consignment,Operations
XFOD01,Closed,Account Status
XFOY01,Trading Account,Account Status
XFOYC1,Consignment,Operations
XFOYC2,Consignment,Operations
XFOYC3,Consignment,Operations
XFOYC3,Promotional Stand,Retail Format
XFOYC4,Consignment,Operations
XFOYC4,Promotional Stand,Retail Format
YBOS01,Closed,Account Status
YBRA01,Closed,Account Status
YBUCO,Consignment,Operations
YBUCO,Promotion,Marketing
YBUS01,Closed,Account Status
YBUS02,Closed,Account Status
YBUS03,Closed,Account Status
YBUS04,Closed,Account Status
YBUS05,Closed,Account Status
YBUS06,Closed,Account Status
YBUS07,Closed,Account Status
YBUS08,Closed,Account Status
YBUS09,Closed,Account Status
YHAA01,Closed,Account Status
YMAFC0,Consignment,Operations
YMEEC1,Consignment,Operations
YMEEO6,Trading Account,Account Status
YMEEOC,Consignment,Operations
YMEESA,Consignment,Operations
YREN03,Trading Account,Account Status
YRENC1,Consignment,Operations
YROA14,Promotion,Marketing
YSTLC1,Consignment,Operations
YSTLC2,Promotion,Marketing
YSTLOC,Consignment,Operations
ZDEI01,Trading Account,Account Status
ZDEIOC,Consignment,Operations
ZDOE02,Closed,Account Status
ZHAY01,Closed,Account Status
ZNAEOC,Consignment,Operations
