CUSTOMER_NUMBER,DEPOSIT_REF
KMOO02,DB06-106
KMOO02,DD03-020
KMOO02,DD04-015
KMOO03,DB09-073
KMOO03,DB11-047
KMOO05,DD11-001
KMOW01,DB10-011
KNIS01,DB05-099
KNIS01,DB07-101
KOSO01,DB03-165
KOSO01,DB05-115
KOSO01,DB06-125
KOSO01,DB11-070
KSAS02,DB03-215
KSAS02,DB04-165
KSAS02,DB05-222
KSAS02,DB06-183
KSAS02,DB08-219
KSAS02,DB10-168
KSAS02,DD05-008
LALI01,DD09-017
LALY02,DB06-040
LBAF01,DB03-142
LBAF01,DB03-168
LBAF01,DB04-066
LBAF01,DB07-138
LBAF01,DB09-145
LBAF01,DB10-137
LBUB02,DB08-182
LBUB02,DB10-004
LBUB02,DB11-023
LBUB02,DB11-038
LFED01,DD04-010
LFED01,DD06-014
LGOD03,DB08-003
LGOD03,DB10-153
LGOD03,DD03-019
LGOD03,DD05-019
LGOD05,DB05-125
LGOD05,DB08-007
LGOD05,DB09-180
LGOD06,DB05-128
LGOD08,DB05-129
LGOD08,DB08-008
LGOD08,DB08-199
LGOD09,DB08-009
LGOD10,DB05-130
LGOD11,DB08-010
LGOD12,DB08-013
LHII01,DB04-024
LHIL05,DD05-009
LHIL05,DD08-003
LHIL05,DD09-005
LHOL01,DD03-013
LHOL01,DD06-002
LHOM01,DB11-155
LKIL01,DB03-151
LMAA03,DB06-119
LMAA03,DB09-143
LMAE01,DB04-162
LMAE01,DB05-111
LMAE01,DB06-065
LMAE01,DB09-158
LMAE01,DB10-063
LMAE01,DB12-066
LMEL02,DB03-204
LMEL02,DB04-201
LMEL02,DB05-212
LMEL02,DB07-036
LMEL02,DB08-153
LMEL02,DB08-204
LMEL02,DB10-154
LMEL03,DB04-194
LMEL03,DB07-032
LMEL03,DB08-155
LMEL03,DB08-204
LMEL04,DB03-206
LMEL04,DB07-035
LMEL04,DB08-154
LMEL04,DB09-190
LMEL04,DB11-165
LMEL05,DB03-208
LMEL05,DB04-191
LMEL05,DB08-150
LMEL05,DB08-204
LMEL05,DB10-154
LMEL06,DB04-188
LMEL06,DB10-154
LMEL06,DB11-168
LMEL07,DB04-184
LMEL07,DB05-214
LMEL07,DB10-154
LMEL08,DB03-210
LMEL08,DB08-204
LMEL08,DB11-167
LMEL09,DB03-209
LMEL09,DB04-199
LMEL09,DB11-169
LMEL10,DB04-187
LMEL10,DB07-038
LMEL10,DB08-156
LMEL11,DB03-211
LMEL11,DB04-190
LMEL11,DB07-034
LMEL11,DB08-151
LMEL11,DB08-204
LMEL13,DB03-205
LMEL13,DB09-188
LMEL14,DB04-200
LMEL14,DB11-166
LMEL16,DB03-202
LMEL16,DB04-193
LMEL16,DB05-207
LMEL16,DB07-030
LMEL16,DB08-204
LMEL16,DB09-187
LMEL17,DB04-195
LMEL17,DB07-033
LMEL18,DB07-031
LMEL19,DB03-207
LMEL19,DB08-152
LMEL19,DB08-204
LMEL19,DB09-193
LMEL20,DB03-201
LMEL20,DB04-192
LMEL20,DB08-204
LMEL20,DB09-191
LMEL20,DB11-161
LMEL21,DB03-203
LMEL21,DB04-189
LMEL22,DB08-204
LMEL22,DB09-192
LMEL22,DB11-162
LMEL24,DB04-197
LMEL24,DB07-037
LMEL26,DB04-196
LMEL26,DB07-029
LMEL26,DB09-194
LMEL26,DB11-164
LMEL27,DB03-200
LMEL27,DB04-198
LMEL27,DB05-213
LMEL27,DB09-189
LMEL27,DB10-154
LMEL27,DD05-017
LMEL29,DB11-163
LMEW01,DB10-138
LMEW01,DD10-008
LMEW01,DD11-012
LMOE01,DB04-037
LMOE02,DB04-174
LMOE02,DB05-122
LMOE02,DB12-082
LMUL05,DD04-002
LMUL05,DD06-010
LMUL06,DD03-015
LMUL06,DD06-013
LMUL17,DB11-180
LNAE01,DB05-018
LNAE01,DB07-017
LNAE01,DB08-001
LNAL01,DB08-019
LNEO02,DB05-104
LNIS01,DD04-004
LPIA01,DB06-126
LPIL01,DB08-107
LPIL05,DB04-061
LPIL05,DB09-099
LPIL05,DB11-042
LPIL08,DB09-135
